season,team_id,team_name,seed,seed_region,conference,reg_season_wins,reg_season_losses,reg_season_win_pct,reached_playin,won_playin,reached_r64,reached_r32,reached_s16,reached_e8,reached_f4,reached_f2,won_championship,payout_pct
1985,1207,Georgetown,1,W,big_east,25,2,0.9259,0,0,1,1,1,1,1,1,0,0.1075
1985,1276,Michigan,1,Z,big_ten,25,3,0.8929,0,0,1,1,0,0,0,0,0,0.0
1985,1328,Oklahoma,1,Y,big_eight,25,5,0.8333,0,0,1,1,1,1,0,0,0,0.035
1985,1385,St John's,1,X,big_east,27,3,0.9,0,0,1,1,1,1,1,0,0,0.0625
1985,1210,Georgia Tech,2,W,acc,24,7,0.7742,0,0,1,1,1,1,0,0,0,0.035
1985,1272,Memphis,2,Y,metro,26,3,0.8966,0,0,1,1,1,1,1,0,0,0.0625
1985,1314,North Carolina,2,Z,acc,23,8,0.7419,0,0,1,1,1,1,0,0,0,0.035
1985,1433,VCU,2,X,sun_belt,25,5,0.8333,0,0,1,1,0,0,0,0,0,0.0
1985,1181,Duke,3,Y,acc,22,7,0.7586,0,0,1,1,0,0,0,0,0,0.0
1985,1228,Illinois,3,W,big_ten,23,8,0.7419,0,0,1,1,1,0,0,0,0,0.015
1985,1242,Kansas,3,Z,big_eight,23,7,0.7667,0,0,1,1,0,0,0,0,0,0.0
1985,1301,NC State,3,X,acc,20,9,0.6897,0,0,1,1,1,1,0,0,0,0.035
1985,1260,Loyola-Chicago,4,W,mw_city,25,5,0.8333,0,0,1,1,1,0,0,0,0,0.025741
1985,1261,LSU,4,Z,sec,19,9,0.6786,0,0,1,0,0,0,0,0,0,0.0
1985,1326,Ohio St,4,Y,big_ten,19,9,0.6786,0,0,1,1,0,0,0,0,0,0.010741
1985,1424,UNLV,4,X,pcaa,27,3,0.9,0,0,1,1,0,0,0,0,0,0.010741
1985,1256,Louisiana Tech,5,Y,southland,26,2,0.9286,0,0,1,1,1,0,0,0,0,0.025741
1985,1268,Maryland,5,Z,acc,22,11,0.6667,0,0,1,1,1,0,0,0,0,0.025741
1985,1374,SMU,5,W,swc,22,8,0.7333,0,0,1,1,0,0,0,0,0,0.010741
